lat,lon,road_class
13.7024504,100.6996519,motorway
13.6953441,100.6997336,motorway
13.6914067,100.6996778,motorway
13.6892878,100.6996431,motorway
13.6827122,100.6995471,motorway
13.6803939,100.6995049,motorway
13.7027451,100.6996654,motorway
13.7052107,100.6997676,motorway
13.7076506,100.6998628,motorway
13.7023845,100.6998328,motorway
13.6999963,100.6997601,motorway
13.6956513,100.6997375,motorway
13.6803865,100.6993215,motorway
13.6829623,100.6993789,motorway
13.6853235,100.6994004,motorway
13.6878487,100.6994464,motorway
13.6904343,100.699478,motorway
13.69368,100.6995348,motorway
13.680053,100.6993182,motorway
13.6800294,100.6995051,motorway
13.6761097,100.6994563,motorway
13.6736658,100.699395,motorway
13.6725815,100.6993678,motorway
13.6706841,100.6993639,motorway
13.6684658,100.6990696,motorway
13.666639,100.6985529,motorway
13.6649883,100.6977869,motorway
13.6600874,100.6943378,motorway
13.6601812,100.6941949,motorway
13.6641861,100.6970899,motorway
13.6660945,100.6981248,motorway
13.6682926,100.6988586,motorway
13.6706095,100.699181,motorway
13.6762197,100.6992625,motorway
13.6790659,100.6993051,motorway
13.6573694,100.6921431,motorway
13.6494155,100.6860266,motorway
13.6510445,100.6872069,motorway
13.746746,100.7025014,motorway
13.7486718,100.702378,motorway
13.750653,100.7018211,motorway
13.75881,100.6976656,motorway
13.7567459,100.698644,motorway
13.7550418,100.6997365,motorway
13.7511876,100.7015656,motorway
13.7534869,100.7002344,motorway
13.7559886,100.6988611,motorway
13.7582148,100.697685,motorway
13.7509701,100.7019195,motorway
13.7489916,100.7025375,motorway
13.837967,100.6729719,motorway
13.8402236,100.6724105,motorway
13.842147,100.6721874,motorway
13.8419003,100.6724144,motorway
13.8396255,100.6727716,motorway
13.8538045,100.6743135,motorway
13.851699,100.6734431,motorway
13.8506352,100.6730904,motorway
13.8472263,100.6727135,motorway
13.8874608,100.688224,motorway
13.8892531,100.6889359,motorway
13.9303322,100.7074116,motorway
13.9359171,100.7088835,motorway
13.733327,100.6955676,motorway
13.7333773,100.6950917,motorway
13.7341786,100.6878636,motorway
13.733545,100.6952013,motorway
13.7358362,100.6748559,motorway
13.7352588,100.679535,motorway
13.7343897,100.6875247,motorway
13.7356594,100.6748243,motorway
13.7357021,100.6745445,motorway
13.7360566,100.6723608,motorway
13.7363682,100.6702991,motorway
13.7367105,100.6681057,motorway
13.7369715,100.6654688,motorway
13.7343548,100.6878955,motorway
13.733906,100.6919301,motorway
13.7334916,100.6956633,motorway
13.7332321,100.6980812,motorway
13.7321124,100.7081798,motorway
13.7320835,100.7084202,motorway
13.731924,100.7084171,motorway
13.7319507,100.7081827,motorway
13.7328296,100.6996888,motorway
13.7358771,100.674573,motorway
13.737146,100.6654689,motorway
13.7368799,100.6681374,motorway
13.736554,100.6702884,motorway
13.7369942,100.6650853,motorway
13.7371629,100.6627685,motorway
13.7373506,100.6601963,motorway
13.737174,100.6650814,motorway
13.7376515,100.6591406,motorway
13.737341,100.6627412,motorway
13.7374785,100.6591296,motorway
13.7377455,100.6585859,motorway
13.7410134,100.6441813,motorway
13.7408523,100.6441454,motorway
13.7415265,100.6409965,motorway
13.7425318,100.6360885,motorway
13.7425152,100.6338528,motorway
13.7413611,100.6284955,motorway
13.7408671,100.6261991,motorway
13.7405485,100.6242141,motorway
13.741094,100.6189059,motorway
13.7413529,100.6165618,motorway
13.7415263,100.6146046,motorway
13.7415752,100.6415489,motorway
13.7407707,100.645376,motorway
13.7405122,100.6457283,motorway
13.740592,100.6453207,motorway
13.7707418,100.6055605,motorway
13.7691805,100.6039773,motorway
13.767762,100.6028007,motorway
13.7641961,100.5999022,motorway
13.7743441,100.6068626,motorway
13.7721494,100.606473,motorway
13.7701229,100.6046059,motorway
13.7717427,100.6058635,motorway
13.7737762,100.6065178,motorway
13.7469421,100.606006,motorway
13.747642,100.6042716,motorway
13.7492966,100.5993885,motorway
13.7502221,100.5965407,motorway
13.7508045,100.5947739,motorway
13.7516181,100.5923507,motorway
13.7522225,100.5905542,motorway
13.7483011,100.6037391,motorway
13.7476609,100.6055774,motorway
13.7118155,100.5961093,primary
13.7099984,100.5983984,primary
13.7117121,100.5960391,primary
13.7517814,100.6008128,motorway
13.7529363,100.5987815,motorway
13.7508939,100.6025425,motorway
13.7492937,100.6042611,motorway
13.7476246,100.60492,motorway
13.745098,100.6051147,motorway
13.7602176,100.5965441,motorway
13.7625364,100.5983859,motorway
13.7643316,100.5998474,motorway
13.7671056,100.6020842,motorway
13.753994,100.5975938,motorway
13.8351534,100.5016622,primary
13.834682,100.4998115,primary
13.8335576,100.4974177,primary
13.7802694,100.5042233,primary
13.7818645,100.500661,primary
13.8299858,100.546358,primary
13.8299764,100.5443877,primary
13.8304186,100.5603139,primary
13.8306279,100.5582674,primary
13.8224131,100.4693253,primary
13.8548832,100.5482266,primary
13.8558149,100.5465156,primary
13.8562396,100.5445218,primary
14.0041182,100.5656735,primary
13.9957235,100.5535025,primary
13.7419333,100.5900751,primary
13.7442377,100.5908297,primary
13.746702,100.5916442,primary
13.5754489,100.6960012,primary
13.5729989,100.695567,primary
13.5711956,100.6952277,primary
13.5693344,100.6948845,primary
13.566793,100.6944268,primary
13.5646022,100.6940357,primary
13.5624525,100.6936514,primary
13.5647866,100.6091972,trunk
13.5623677,100.610335,trunk
13.560682,100.6111548,trunk
13.5587413,100.6120638,trunk
13.5562815,100.6132482,trunk
13.9939507,100.5169727,primary
14.0028241,100.5201032,primary
14.0294844,100.5254461,primary
14.0273902,100.5254838,primary
14.0255467,100.525517,primary
14.0028702,100.5199792,primary
14.0050222,100.5206891,primary
14.0075054,100.5214775,primary
14.0103137,100.5224094,primary
14.0121803,100.5230285,primary
14.0147065,100.5238698,primary
14.0164304,100.5244426,primary
14.0190289,100.5253086,primary
14.0243126,100.5254403,primary
14.024317,100.5255392,primary
14.0223109,100.5255753,primary
14.0200064,100.5256169,primary
14.0245454,100.5255351,primary
14.0245548,100.5254362,primary
14.0274436,100.5253876,primary
14.0294331,100.5253515,primary
13.9580683,100.5014665,primary
13.9585998,100.5045484,primary
13.946666,100.5359979,primary
13.9486783,100.5339762,primary
13.9520075,100.4659464,primary
13.9522966,100.4678409,primary
13.9526355,100.4696993,primary
13.5993991,100.560297,primary
13.5986205,100.5608047,primary
13.6449932,100.5243798,primary
13.645467,100.5243498,primary
13.6781826,100.477943,motorway
13.6766237,100.479282,motorway
13.6757514,100.4810654,motorway
13.6703527,100.5042944,motorway
13.6708781,100.4959121,motorway
13.671122,100.493903,motorway
13.6716555,100.491826,motorway
13.6742783,100.4844772,motorway
13.6937358,100.4819411,primary
13.692874,100.4814822,primary
13.6943867,100.4995288,primary
13.6959326,100.4981519,primary
13.6959826,100.498212,primary
13.69447,100.4996981,primary
13.6952262,100.533547,motorway
13.6960438,100.5357002,motorway
13.6968006,100.5377496,motorway
13.6978241,100.5394268,motorway
13.6992695,100.5407054,motorway
13.7012853,100.5418964,motorway
13.7033455,100.5431414,motorway
13.7048073,100.5444905,motorway
13.7056013,100.546452,motorway
13.7073338,100.5479019,motorway
13.7110324,100.5515496,motorway
13.7132249,100.5537387,motorway
13.7380793,100.5153449,primary
13.7373176,100.5133118,primary
13.8198118,100.7420895,trunk
13.8196189,100.7398598,trunk
13.8194374,100.7379409,trunk
13.8193183,100.736072,trunk
13.8191117,100.733914,trunk
13.7535111,100.7696588,primary
13.7532224,100.7721941,primary
13.8368468,100.6645161,primary
13.8352708,100.6661298,primary
13.8128103,100.6972198,trunk
13.7648297,100.537694,primary
13.7703954,100.5261458,primary
13.765609,100.5383208,primary
13.8093768,100.5577614,primary
13.8073791,100.5565792,primary
13.805119,100.5552156,primary
13.803235,100.5540971,primary
13.8139379,100.5605045,primary
13.8126818,100.5619457,primary
13.8077476,100.5705466,primary
13.8090696,100.5681436,primary
13.8100563,100.5595689,trunk
13.8148421,100.5590575,trunk
13.81469,100.5592824,trunk
13.8118083,100.5596021,trunk
13.8167006,100.5588578,trunk
13.81954,100.5585478,trunk
13.9628857,100.6201776,trunk
13.9601933,100.620633,trunk
13.9583072,100.6209651,trunk
13.9561489,100.6210395,trunk
13.8358563,100.5375998,motorway
13.8379098,100.536046,motorway
13.8359146,100.5377028,motorway
13.8328254,100.5398129,motorway
13.8304709,100.541436,motorway
13.8405709,100.5346894,motorway
13.8384136,100.5361767,motorway
13.8922295,100.5408404,motorway
13.8943666,100.5413892,motorway
13.8995506,100.5420391,primary
13.9025877,100.5338268,primary
13.9069494,100.5092686,primary
13.9072164,100.5066417,primary
13.7715034,100.5324155,motorway
13.7732942,100.5320827,motorway
13.7755338,100.5325559,motorway
13.8021837,100.5426699,motorway
13.8006282,100.5413075,motorway
13.7989885,100.5403935,motorway
13.7972101,100.5398524,motorway
13.795388,100.5395436,motorway
13.9001663,100.5403573,primary
13.9013226,100.5370823,primary
13.8996416,100.542172,primary
13.9019518,100.5355279,primary
13.9018819,100.5354984,primary
13.9073043,100.506656,primary
13.9071352,100.5086909,primary
13.7562522,100.5230838,primary
13.756815,100.521052,primary
13.7607767,100.5252994,motorway
13.7666137,100.5276553,motorway
13.7684717,100.528422,motorway
13.7572393,100.5205402,primary
13.7589705,100.5185263,primary
13.7604525,100.5168078,primary
13.7573853,100.5206378,primary
13.7382362,100.5150838,primary
13.739418,100.5135273,primary
13.7009339,100.519306,motorway
13.7030494,100.5184938,motorway
13.7048816,100.5182565,motorway
13.7068905,100.5184238,motorway
13.684607,100.5225164,primary
13.6874946,100.5174363,primary
13.6869672,100.5184801,primary
13.6858883,100.520387,primary
13.6849207,100.5220005,primary
13.6836617,100.5234947,primary
13.6844834,100.5224644,primary
13.6859145,100.5201589,primary
13.6869228,100.5182696,primary
13.6937589,100.5299173,motorway
13.6928748,100.5275532,motorway
13.6921064,100.5257542,motorway
13.6906864,100.5242339,motorway
13.6797017,100.5154588,motorway
13.6853301,100.5198584,motorway
13.8414292,100.5341518,motorway
13.8432765,100.5335748,motorway
13.845332,100.5332748,motorway
13.8472276,100.5332464,motorway
13.7646812,100.5391316,primary
13.7638483,100.5408516,primary
13.7630464,100.5425099,primary
13.7626556,100.543091,primary
13.7629333,100.5424205,primary
13.7637751,100.5407752,primary
13.7634083,100.5457448,primary
13.7556238,100.5698334,primary
13.755764,100.567973,primary
13.7639349,100.5471522,primary
13.7640397,100.547596,primary
13.7637729,100.5485058,primary
13.7626931,100.5505218,primary
13.7661844,100.5489724,motorway
13.769434,100.5507823,motorway
13.7724237,100.5525283,motorway
13.7743937,100.5536334,motorway
13.7771872,100.5553224,motorway
13.7522299,100.5484686,motorway
13.7780586,100.5557049,motorway
13.8027022,100.5605154,trunk
13.8000115,100.5607675,trunk
13.7978704,100.5609928,trunk
13.7660714,100.5492096,motorway
13.7634196,100.5479881,motorway
13.7758329,100.5546771,motorway
13.7721381,100.5524742,motorway
13.7833831,100.5589569,trunk
13.7814656,100.5579037,trunk
13.7794203,100.556788,trunk
13.7758376,100.5547967,trunk
13.81505,100.0895231,trunk
13.8146626,100.0876603,trunk
13.8135013,100.0834413,trunk
13.8130124,100.0814347,trunk
13.8126599,100.0793234,trunk
13.930998,100.6075075,trunk
13.7726265,100.5528496,trunk
13.8417571,100.5720558,primary
13.8399351,100.5752401,primary
13.8404142,100.5789108,primary
13.8756621,100.5967133,primary
13.8731987,100.5952693,primary
13.8763086,100.5971917,primary
13.8780392,100.5981966,primary
13.8766442,100.5972777,primary
13.8494613,100.5581424,primary
13.8491381,100.5586707,primary
13.8461035,100.5642051,primary
13.8456078,100.5648718,primary
13.8460463,100.5641724,primary
13.8477661,100.5610194,primary
13.849069,100.5586307,primary
13.8297484,100.5623876,primary
13.8305107,100.5603504,primary
13.8301206,100.5479277,primary
13.8301688,100.5522697,primary
13.8300578,100.5423298,primary
13.8302081,100.540947,primary
13.8305912,100.5365363,primary
13.8303071,100.5409621,primary
13.8308515,100.5348305,primary
13.8306631,100.5365513,primary
13.7566111,100.5063302,primary
13.7575176,100.5081635,primary
13.7281565,100.8111609,motorway
13.7305487,100.8098623,motorway
13.7320158,100.8084657,motorway
13.7332936,100.8064364,motorway
13.7338896,100.8046699,motorway
13.734112,100.8025751,motorway
13.7339461,100.8007112,motorway
13.7337194,100.7986124,motorway
13.7332959,100.7946573,motorway
13.7247287,100.8128197,motorway
13.7153446,100.8174522,motorway
13.7173848,100.8164518,motorway
13.7196713,100.8153373,motorway
13.7213976,100.814483,motorway
13.7091485,100.8204883,motorway
13.7122815,100.8189905,motorway
13.8867288,100.5773625,primary
13.8857841,100.5789455,primary
13.8824761,100.5846293,primary
13.8829013,100.5840089,primary
13.884049,100.5819857,primary
13.8829626,100.5840474,primary
13.8857053,100.5788978,primary
13.8865505,100.577255,primary
13.8846311,100.5810271,primary
13.641057,100.4085675,trunk
13.6439172,100.4124512,trunk
13.6408516,100.4086281,trunk
13.6396173,100.407008,trunk
13.6377263,100.4049889,trunk
13.7562319,100.505954,primary
13.9265075,100.626443,primary
13.9289407,100.6260987,primary
13.9319322,100.6255739,primary
13.9345164,100.6251082,primary
13.9366246,100.6247265,primary
13.9385363,100.6243863,primary
13.9407549,100.6239989,primary
13.7350058,100.5290413,primary
13.7378967,100.5294657,primary
13.7458692,100.5328025,primary
13.7426601,100.5506907,primary
13.7430145,100.5487911,primary
13.749004,100.5311889,primary
13.7474213,100.5309392,primary
13.733857,100.5262993,primary
13.732922,100.5285724,primary
13.7319857,100.5309143,primary
13.731277,100.5326726,primary
13.7304972,100.5344438,primary
13.7337836,100.5262784,primary
13.728476,100.5390543,primary
13.730405,100.5344152,primary
13.7323762,100.5301806,primary
13.7314168,100.5320108,primary
13.7317139,100.5312885,primary
13.7317836,100.531315,primary
13.7315744,100.5316266,primary
13.7316418,100.5316705,primary
13.7307238,100.5338558,primary
13.7285606,100.5390887,primary
13.7279601,100.5401718,primary
14.0282393,100.3520423,primary
14.0281259,100.3498534,primary
14.0280022,100.3476579,primary
14.0278811,100.3455077,primary
14.02769,100.3423091,primary
14.0161297,100.7250594,primary
14.0152032,100.7228262,primary
14.0142094,100.7204269,primary
14.01341,100.7185188,primary
14.0124552,100.7163337,primary
14.0108606,100.7126875,primary
14.0099755,100.710604,primary
13.9855806,100.6161844,trunk
13.9824986,100.6167399,trunk
13.9824847,100.6165079,trunk
13.9855484,100.61595,trunk
13.9851043,100.6195595,primary
13.73292,100.5288307,primary
13.7444812,100.5402664,primary
14.016525,100.550742,primary
14.031206,100.5581345,primary
13.7635266,100.5413726,primary
13.6963487,100.7539455,trunk
13.6946574,100.7535659,trunk
13.6956931,100.7493281,trunk
13.6973239,100.7495668,trunk
13.711744,100.5351458,primary
13.7133873,100.534297,primary
13.7150845,100.5334595,primary
13.7170132,100.5324991,primary
13.7193766,100.5313133,primary
13.7213874,100.5303049,primary
13.7473025,100.5208542,motorway
13.7491475,100.5214624,motorway
13.751069,100.5222778,motorway
13.7529878,100.5228344,motorway
14.0400546,100.5809576,motorway
14.0375349,100.5806872,motorway
14.0354846,100.5803449,motorway
14.0336914,100.5799749,motorway
14.0298447,100.5789468,motorway
14.0262807,100.5779855,motorway
14.023803,100.5772752,motorway
14.0217628,100.576736,motorway
14.019234,100.5760351,motorway
14.0154775,100.5750242,motorway
14.0135548,100.5744118,motorway
13.8300099,100.5416166,motorway
13.8304486,100.5413081,motorway
13.8299824,100.5417724,motorway
13.8282093,100.5430316,motorway
13.826813,100.5442652,motorway
13.8253069,100.54595,motorway
13.8239763,100.5474352,motorway
13.7183216,100.5176805,primary
13.7148852,100.4438197,primary
13.7142399,100.4418601,primary
13.7135704,100.4398434,primary
13.713079,100.4380338,primary
13.7129509,100.4361175,primary
